Amellifera_OGSv3.2ID,FBpp,FBgnID
GB54372,FBpp0073291,FBgn0015245
GB40516,FBpp0073312,FBgn0030294
GB50257,FBpp0073400,FBgn0002577
GB54020,FBpp0073402,FBgn0030334
GB45408,FBpp0073432,FBgn0250871
GB54540,FBpp0073440,FBgn0030342
GB49117,FBpp0073448,FBgn0001218
GB54385,FBpp0073508,FBgn0030411
GB49633,FBpp0073651,FBgn0020909
GB45179,FBpp0073739,FBgn0030556
GB42147,FBpp0073787,FBgn0030600
GB50809,FBpp0073890,FBgn0030646
GB46263,FBpp0073902,FBgn0027329
GB53518,FBpp0073910,FBgn0030692
GB40303,FBpp0073935,FBgn0030710
GB41448,FBpp0073979,FBgn0030685
GB40673,FBpp0074019,FBgn0030737
GB47827,FBpp0074129,FBgn0030789
GB43938,FBpp0074205,FBgn0030839
GB46847,FBpp0074214,FBgn0027602
GB53340,FBpp0074228,FBgn0250788
GB41285,FBpp0074455,FBgn0052536
GB44517,FBpp0074462,FBgn0027603
GB52047,FBpp0074577,FBgn0259789
GB52007,FBpp0074607,FBgn0036967
GB45083,FBpp0074616,FBgn0036964
GB45373,FBpp0074653,FBgn0001324
GB41872,FBpp0074708,FBgn0036888
GB50013,FBpp0074713,FBgn0036891
GB42981,FBpp0074817,FBgn0040323
GB42142,FBpp0074853,FBgn0001078
GB53881,FBpp0074859,FBgn0036805
GB50993,FBpp0074902,FBgn0036775
GB44660,FBpp0075046,FBgn0036696
GB48371,FBpp0075051,FBgn0036687
GB47100,FBpp0075103,FBgn0036663
GB51728,FBpp0075106,FBgn0004556
GB52739,FBpp0075168,FBgn0027080
GB40580,FBpp0075250,FBgn0036570
GB53090,FBpp0075274,FBgn0036557
GB48362,FBpp0075284,FBgn0000489
GB51186,FBpp0075316,FBgn0036512
GB49161,FBpp0075319,FBgn0036515
GB54227,FBpp0075344,FBgn0036519
GB55296,FBpp0075400,FBgn0047178
GB47336,FBpp0075401,FBgn0014002
GB45052,FBpp0075535,FBgn0026376
GB54219,FBpp0075548,FBgn0086708
GB51828,FBpp0075559,FBgn0036377
GB54343,FBpp0075609,FBgn0036334
GB54338,FBpp0075701,FBgn0020388
GB47570,FBpp0075748,FBgn0036266
GB44306,FBpp0075833,FBgn0036184
GB53437,FBpp0075859,FBgn0036196
GB52012,FBpp0075937,FBgn0036124
GB44937,FBpp0075946,FBgn0052076
GB42173,FBpp0076083,FBgn0036063
GB42369,FBpp0076119,FBgn0053696
GB45865,FBpp0076155,FBgn0036008
GB48927,FBpp0076199,FBgn0036005
GB55977,FBpp0076216,FBgn0015218
GB45830,FBpp0076227,FBgn0004379
GB50482,FBpp0076252,FBgn0023479
GB41211,FBpp0076285,FBgn0086706
GB51080,FBpp0076410,FBgn0035838
GB50524,FBpp0076430,FBgn0087039
GB48048,FBpp0076548,FBgn0035760
GB48692,FBpp0076558,FBgn0035771
GB53027,FBpp0076599,FBgn0035754
GB46334,FBpp0076601,FBgn0028648
GB47463,FBpp0076643,FBgn0001104
GB49929,FBpp0076722,FBgn0002526
GB40301,FBpp0076771,FBgn0035679
GB44081,FBpp0076773,FBgn0035674
GB52560,FBpp0076918,FBgn0015527
GB41946,FBpp0077028,FBgn0022770
GB43743,FBpp0077122,FBgn0022153
GB45477,FBpp0077149,FBgn0031600
GB49601,FBpp0077185,FBgn0031571
GB42194,FBpp0077250,FBgn0031545
GB51700,FBpp0077316,FBgn0028970
GB41808,FBpp0077369,FBgn0051694
GB53190,FBpp0077396,FBgn0031452
GB43178,FBpp0077507,FBgn0031399
GB54753,FBpp0077574,FBgn0000579
GB51659,FBpp0077720,FBgn0031256
GB54158,FBpp0077738,FBgn0260933
GB43180,FBpp0077740,FBgn0031260
GB45040,FBpp0077743,FBgn0043364
GB44056,FBpp0077790,FBgn0024352
GB40423,FBpp0077904,FBgn0040634
GB41974,FBpp0077935,FBgn0037021
GB41137,FBpp0077938,FBgn0037017
GB42057,FBpp0078086,FBgn0037121
GB49844,FBpp0078118,FBgn0037109
GB44037,FBpp0078144,FBgn0015075
GB41977,FBpp0078327,FBgn0037372
GB54606,FBpp0078385,FBgn0051548
GB45261,FBpp0078511,FBgn0037279
GB53238,FBpp0078634,FBgn0031659
GB45863,FBpp0078732,FBgn0051915
GB45397,FBpp0078890,FBgn0031820
GB45267,FBpp0078891,FBgn0027496
GB51735,FBpp0078894,FBgn0031822
GB44897,FBpp0078898,FBgn0259749
GB55877,FBpp0078956,FBgn0051634
GB54541,FBpp0079171,FBgn0031973
GB54846,FBpp0079218,FBgn0032014
GB44027,FBpp0079232,FBgn0032017
GB50323,FBpp0079294,FBgn0032052
GB47469,FBpp0079470,FBgn0010520
GB41242,FBpp0079521,FBgn0011584
GB48029,FBpp0079579,FBgn0032219
GB53829,FBpp0079616,FBgn0032250
GB55510,FBpp0079644,FBgn0032228
GB41732,FBpp0079697,FBgn0032287
GB53659,FBpp0079780,FBgn0032298
GB45342,FBpp0079871,FBgn0051866
GB49933,FBpp0079896,FBgn0032395
GB51009,FBpp0079992,FBgn0032444
GB40782,FBpp0080052,FBgn0022069
GB46027,FBpp0080068,FBgn0051849
GB54005,FBpp0080157,FBgn0051814
GB54378,FBpp0080265,FBgn0001978
GB44165,FBpp0080401,FBgn0001995
GB51653,FBpp0080454,FBgn0264695
GB45814,FBpp0080532,FBgn0032635
GB47554,FBpp0080554,FBgn0027885
GB50364,FBpp0080638,FBgn0086707
GB44344,FBpp0080663,FBgn0053120
GB48408,FBpp0080687,FBgn0002022
GB48373,FBpp0080720,FBgn0032744
GB47779,FBpp0080818,FBgn0032797
GB41232,FBpp0080862,FBgn0019686
GB40794,FBpp0081097,FBgn0028400
GB45443,FBpp0081152,FBgn0037469
GB51303,FBpp0081194,FBgn0002522
GB54101,FBpp0081214,FBgn0037439
GB52008,FBpp0081284,FBgn0010812
GB44209,FBpp0081312,FBgn0037537
GB46059,FBpp0081350,FBgn0037569
GB46065,FBpp0081373,FBgn0086679
GB42479,FBpp0081401,FBgn0037632
GB48798,FBpp0081491,FBgn0037647
GB50624,FBpp0081497,FBgn0037680
GB52645,FBpp0081604,FBgn0037737
GB43846,FBpp0081617,FBgn0037754
GB40700,FBpp0081722,FBgn0025879
GB41889,FBpp0081799,FBgn0037818
GB54387,FBpp0081879,FBgn0037899
GB49250,FBpp0081900,FBgn0037933
GB41485,FBpp0081907,FBgn0037943
GB50756,FBpp0081980,FBgn0037973
GB53512,FBpp0082036,FBgn0003651
GB51133,FBpp0082081,FBgn0038016
GB41806,FBpp0082155,FBgn0038088
GB46569,FBpp0082223,FBgn0038145
GB46051,FBpp0082297,FBgn0260464
GB43300,FBpp0082319,FBgn0263396
GB44564,FBpp0082350,FBgn0038198
GB40205,FBpp0082353,FBgn0262955
GB43459,FBpp0082406,FBgn0003862
GB42039,FBpp0082445,FBgn0038235
GB50951,FBpp0082458,FBgn0067629
GB45014,FBpp0082467,FBgn0038274
GB48122,FBpp0082507,FBgn0038300
GB44338,FBpp0082510,FBgn0038304
GB54611,FBpp0082596,FBgn0028984
GB50966,FBpp0082742,FBgn0038432
GB52191,FBpp0082798,FBgn0051217
GB42086,FBpp0082850,FBgn0038490
GB45367,FBpp0082877,FBgn0028992
GB49084,FBpp0082911,FBgn0000063
GB49538,FBpp0082953,FBgn0038546
GB45358,FBpp0082973,FBgn0022943
GB42526,FBpp0082985,FBgn0262559
GB53775,FBpp0083003,FBgn0038610
GB40890,FBpp0083036,FBgn0038577
GB41134,FBpp0083076,FBgn0044871
GB51626,FBpp0083151,FBgn0038692
GB45001,FBpp0083185,FBgn0086613
GB53616,FBpp0083215,FBgn0038721
GB46231,FBpp0083319,FBgn0038810
GB52190,FBpp0083351,FBgn0038811
GB41469,FBpp0083352,FBgn0014029
GB53038,FBpp0083369,FBgn0038826
GB49265,FBpp0083390,FBgn0038839
GB55556,FBpp0083568,FBgn0038921
GB49514,FBpp0083572,FBgn0025140
GB46565,FBpp0083611,FBgn0003178
GB45624,FBpp0083673,FBgn0024558
GB44132,FBpp0083686,FBgn0038974
GB55528,FBpp0083687,FBgn0028688
GB51361,FBpp0083855,FBgn0039113
GB49337,FBpp0083861,FBgn0028691
GB44677,FBpp0083881,FBgn0039128
GB44443,FBpp0083897,FBgn0039135
GB43388,FBpp0083912,FBgn0013347
GB50042,FBpp0083961,FBgn0039160
GB43483,FBpp0084013,FBgn0039188
GB46503,FBpp0084067,FBgn0039218
GB41627,FBpp0084076,FBgn0039228
GB42311,FBpp0084080,FBgn0039232
GB45670,FBpp0084340,FBgn0039402
GB46052,FBpp0084349,FBgn0028833
GB49967,FBpp0084480,FBgn0029155
GB41867,FBpp0084623,FBgn0039562
GB53611,FBpp0084688,FBgn0039590
GB52754,FBpp0084729,FBgn0039627
GB46213,FBpp0084778,FBgn0041186
GB42207,FBpp0084779,FBgn0041588
GB51632,FBpp0084783,FBgn0039638
GB49432,FBpp0084871,FBgn0039727
GB54369,FBpp0084950,FBgn0086355
GB55105,FBpp0085122,FBgn0086362
GB49607,FBpp0085251,FBgn0032949
GB45150,FBpp0085252,FBgn0023416
GB51727,FBpp0085260,FBgn0032961
GB46306,FBpp0085308,FBgn0032988
GB55247,FBpp0085420,FBgn0261403
GB42360,FBpp0085442,FBgn0042085
GB46031,FBpp0085484,FBgn0262736
GB53387,FBpp0085498,FBgn0050158
GB52752,FBpp0085706,FBgn0034435
GB51751,FBpp0085778,FBgn0034417
GB45760,FBpp0085809,FBgn0034401
GB52520,FBpp0085869,FBgn0034345
GB49651,FBpp0085888,FBgn0034367
GB55192,FBpp0086045,FBgn0034265
GB49522,FBpp0086076,FBgn0024196
GB52724,FBpp0086084,FBgn0050104
GB55455,FBpp0086110,FBgn0034223
GB55389,FBpp0086129,FBgn0026721
GB51806,FBpp0086329,FBgn0025519
GB50834,FBpp0086405,FBgn0034058
GB41284,FBpp0086623,FBgn0050197
GB53703,FBpp0086627,FBgn0010638
GB53592,FBpp0086698,FBgn0033915
GB45777,FBpp0086833,FBgn0033836
GB50213,FBpp0086872,FBgn0033816
GB40879,FBpp0086874,FBgn0033812
GB55378,FBpp0086914,FBgn0004512
GB52755,FBpp0087091,FBgn0027495
GB50652,FBpp0087095,FBgn0010621
GB47462,FBpp0087164,FBgn0033663
GB40877,FBpp0087250,FBgn0021795
GB44206,FBpp0087252,FBgn0033624
GB44786,FBpp0087350,FBgn0024956
GB46449,FBpp0087437,FBgn0033507
GB43438,FBpp0087476,FBgn0033471
GB44888,FBpp0087494,FBgn0033483
GB51106,FBpp0087511,FBgn0033485
GB50831,FBpp0087519,FBgn0263260
GB49013,FBpp0087648,FBgn0033378
GB44692,FBpp0087663,FBgn0050342
GB50106,FBpp0087669,FBgn0262515
GB52261,FBpp0087709,FBgn0033379
GB52421,FBpp0087732,FBgn0002552
GB43738,FBpp0087744,FBgn0033367
GB43782,FBpp0087755,FBgn0027607
GB40783,FBpp0087762,FBgn0003074
GB49573,FBpp0087765,FBgn0033341
GB46707,FBpp0087774,FBgn0022027
GB51655,FBpp0087775,FBgn0033316
GB49762,FBpp0087861,FBgn0033264
GB52510,FBpp0087862,FBgn0033266
GB50511,FBpp0087867,FBgn0011659
GB53196,FBpp0087917,FBgn0033229
GB46688,FBpp0088020,FBgn0033199
GB48424,FBpp0088025,FBgn0033195
GB41629,FBpp0088153,FBgn0025936
GB55262,FBpp0088205,FBgn0039900
GB53625,FBpp0088221,FBgn0051997
GB50595,FBpp0088362,FBgn0036290
GB43401,FBpp0088371,FBgn0259481
GB51495,FBpp0088538,FBgn0032388
GB43660,FBpp0088602,FBgn0003380
GB54474,FBpp0088649,FBgn0043070
GB40240,FBpp0088688,FBgn0002773
GB49046,FBpp0088796,FBgn0041723
GB42190,FBpp0088810,FBgn0015925
GB41651,FBpp0088990,FBgn0001098
GB41078,FBpp0099388,FBgn0053977
GB48201,FBpp0099679,FBgn0050481
GB40308,FBpp0099759,FBgn0036306
GB47876,FBpp0099780,FBgn0263397
GB46178,FBpp0099839,FBgn0053969
GB42835,FBpp0099923,FBgn0004507
GB47821,FBpp0100144,FBgn0034519
GB55375,FBpp0110124,FBgn0083956
GB53648,FBpp0110275,FBgn0083976
GB40259,FBpp0110448,FBgn0039965
GB48524,FBpp0110478,FBgn0262117
GB42419,FBpp0111291,FBgn0085212
GB46272,FBpp0111299,FBgn0085220
GB42899,FBpp0111303,FBgn0085224
GB48140,FBpp0111526,FBgn0085408
GB53562,FBpp0111536,FBgn0085412
GB41282,FBpp0111806,FBgn0020299
GB45654,FBpp0111834,FBgn0025837
GB54320,FBpp0111925,FBgn0031374
GB54935,FBpp0111946,FBgn0032221
GB54998,FBpp0111979,FBgn0033636
GB55676,FBpp0112020,FBgn0034720
GB49567,FBpp0112027,FBgn0034897
GB56027,FBpp0112080,FBgn0036287
GB45698,FBpp0112092,FBgn0036804
GB47424,FBpp0112115,FBgn0037525
GB54485,FBpp0112233,FBgn0040256
GB50371,FBpp0112463,FBgn0040020
GB54510,FBpp0113010,FBgn0037391
GB46898,FBpp0113012,FBgn0024909
GB45365,FBpp0113021,FBgn0002778
GB53798,FBpp0113027,FBgn0032132
GB47508,FBpp0113067,FBgn0260499
GB51606,FBpp0271702,FBgn0032698
GB45986,FBpp0271769,FBgn0035290
GB43565,FBpp0271814,FBgn0036180
GB47828,FBpp0288398,FBgn0011764
GB49322,FBpp0288570,FBgn0036235
GB44831,FBpp0288638,FBgn0038632
GB44777,FBpp0288668,FBgn0032299
GB52082,FBpp0288741,FBgn0261244
GB52756,FBpp0288787,FBgn0259101
GB55949,FBpp0289046,FBgn0259222
GB45880,FBpp0289097,FBgn0052174
GB40624,FBpp0289196,FBgn0259247
GB51593,FBpp0289204,FBgn0044872
GB49787,FBpp0289270,FBgn0259726
GB41447,FBpp0289427,FBgn0036449
GB49535,FBpp0289607,FBgn0264607
GB55494,FBpp0289874,FBgn0028473
GB54222,FBpp0290016,FBgn0023529
GB41266,FBpp0290083,FBgn0259937
GB51479,FBpp0290091,FBgn0032156
GB50415,FBpp0290185,FBgn0051140
GB55098,FBpp0290238,FBgn0053203
GB53531,FBpp0290305,FBgn0029791
GB51190,FBpp0290385,FBgn0034911
GB45250,FBpp0290427,FBgn0034501
GB52252,FBpp0290558,FBgn0031107
GB49921,FBpp0290568,FBgn0001250
GB53064,FBpp0290637,FBgn0010482
GB51642,FBpp0290686,FBgn0066101
GB54097,FBpp0290693,FBgn0011672
GB43263,FBpp0290699,FBgn0038980
GB43750,FBpp0290701,FBgn0038976
GB50338,FBpp0290722,FBgn0033988
GB42064,FBpp0290731,FBgn0003093
GB55788,FBpp0290742,FBgn0033389
GB47039,FBpp0290811,FBgn0003392
GB53846,FBpp0290815,FBgn0052438
GB54264,FBpp0290829,FBgn0003520
GB43140,FBpp0290834,FBgn0016976
GB47518,FBpp0290859,FBgn0035504
GB46795,FBpp0291053,FBgn0003137
GB53307,FBpp0291063,FBgn0085442
GB43141,FBpp0291231,FBgn0016975
GB52980,FBpp0291398,FBgn0051195
GB41973,FBpp0291412,FBgn0037843
GB50920,FBpp0291479,FBgn0261380
GB42261,FBpp0291491,FBgn0000615
GB47833,FBpp0291530,FBgn0260659
GB49525,FBpp0291536,FBgn0023441
GB45761,FBpp0291566,FBgn0015019
GB45349,FBpp0291582,FBgn0040011
GB46962,FBpp0291704,FBgn0035772
GB47036,FBpp0291973,FBgn0261570
GB53310,FBpp0292102,FBgn0261625
GB50812,FBpp0292197,FBgn0261683
GB44218,FBpp0292244,FBgn0261788
GB44184,FBpp0292309,FBgn0035195
GB46735,FBpp0292338,FBgn0037135
GB40010,FBpp0292449,FBgn0261836
GB43495,FBpp0292534,FBgn0043799
GB42728,FBpp0292707,FBgn0264255
GB53028,FBpp0292900,FBgn0032116
GB50730,FBpp0293000,FBgn0026418
GB43909,FBpp0293012,FBgn0259214
GB47278,FBpp0293017,FBgn0013953
GB44583,FBpp0293167,FBgn0011288
GB41445,FBpp0293192,FBgn0000404
GB42066,FBpp0293213,FBgn0004387
GB50723,FBpp0293236,FBgn0039300
GB52260,FBpp0293248,FBgn0004901
GB50525,FBpp0293258,FBgn0038679
GB49654,FBpp0293261,FBgn0039271
GB43497,FBpp0293373,FBgn0262509
GB43077,FBpp0293445,FBgn0031118
GB51517,FBpp0293524,FBgn0035558
GB42866,FBpp0293597,FBgn0259246
GB52056,FBpp0293680,FBgn0262735
GB46982,FBpp0293735,FBgn0262593
GB49872,FBpp0293742,FBgn0260442
GB49826,FBpp0293880,FBgn0037612
GB54912,FBpp0294000,FBgn0035106
GB55624,FBpp0294006,FBgn0032479
GB48171,FBpp0294020,FBgn0262732
GB49548,FBpp0294044,FBgn0011826
GB50819,FBpp0294057,FBgn0266019
GB41824,FBpp0294064,FBgn0031359
GB50430,FBpp0296974,FBgn0263929
GB50852,FBpp0296980,FBgn0262719
GB47847,FBpp0297066,FBgn0052075
GB42489,FBpp0297352,FBgn0016081
GB41545,FBpp0297401,FBgn0039801
GB41821,FBpp0297541,FBgn0028646
GB46614,FBpp0297563,FBgn0053208
GB43054,FBpp0297585,FBgn0266084
GB47449,FBpp0297623,FBgn0033766
GB50029,FBpp0297828,FBgn0263051
GB52189,FBpp0297859,FBgn0037989
GB46774,FBpp0297900,FBgn0031322
GB54030,FBpp0297996,FBgn0004607
GB45527,FBpp0298282,FBgn0000077
GB51897,FBpp0298314,FBgn0263111
GB41855,FBpp0298836,FBgn0262867
GB47661,FBpp0300182,FBgn0003423
GB50259,FBpp0300445,FBgn0028734
GB45167,FBpp0300517,FBgn0004587
GB55598,FBpp0300557,FBgn0004028
GB54884,FBpp0300571,FBgn0053978
GB51962,FBpp0300575,FBgn0086902
GB40740,FBpp0300627,FBgn0263257
GB41894,FBpp0300643,FBgn0023531
GB47190,FBpp0300665,FBgn0085434
GB54368,FBpp0300672,FBgn0037728
GB55426,FBpp0300820,FBgn0087007
GB52195,FBpp0300837,FBgn0033739
GB48517,FBpp0300963,FBgn0025726
GB40389,FBpp0301152,FBgn0000308
GB55841,FBpp0301191,FBgn0035253
GB55797,FBpp0301586,FBgn0026238
GB44418,FBpp0301708,FBgn0003567
GB48344,FBpp0301972,FBgn0025631
GB48126,FBpp0301993,FBgn0030869
GB46595,FBpp0302052,FBgn0040666
GB43113,FBpp0302785,FBgn0033062
GB45699,FBpp0302813,FBgn0043455
GB49900,FBpp0302851,FBgn0263846
GB41036,FBpp0302934,FBgn0015558
GB44049,FBpp0302957,FBgn0032450
GB55283,FBpp0302960,FBgn0041184
GB50188,FBpp0302966,FBgn0032013
GB48160,FBpp0303039,FBgn0034389
GB52846,FBpp0303045,FBgn0263980
GB45216,FBpp0303084,FBgn0011481
GB51774,FBpp0303144,FBgn0039536
GB49696,FBpp0303153,FBgn0038063
GB48972,FBpp0303192,FBgn0004449
GB54673,FBpp0303196,FBgn0027865
GB53493,FBpp0303241,FBgn0250869
GB41356,FBpp0303274,FBgn0259145
GB51937,FBpp0303281,FBgn0015949
GB44285,FBpp0303333,FBgn0039633
GB44124,FBpp0303501,FBgn0031250
GB42970,FBpp0303520,FBgn0014010
GB44174,FBpp0303524,FBgn0004611
GB42200,FBpp0303635,FBgn0020622
GB40343,FBpp0303757,FBgn0040397
GB41189,FBpp0303776,FBgn0039773
GB42330,FBpp0303820,FBgn0035164
GB53805,FBpp0303846,FBgn0038098
GB51627,FBpp0303850,FBgn0029980
GB42549,FBpp0303979,FBgn0030348
GB45070,FBpp0303993,FBgn0029761
GB53927,FBpp0304014,FBgn0032612
GB46759,FBpp0304084,FBgn0037736
GB42889,FBpp0304093,FBgn0039478
GB54251,FBpp0304267,FBgn0036510
GB50911,FBpp0304318,FBgn0051760
GB48377,FBpp0304322,FBgn0053526
GB49313,FBpp0304343,FBgn0004363
GB53963,FBpp0304556,FBgn0263197
GB45530,FBpp0304601,FBgn0032683
GB53607,FBpp0304607,FBgn0011737
GB52978,FBpp0304616,FBgn0031233
GB44647,FBpp0304633,FBgn0261999
GB40130,FBpp0304820,FBgn0264442
GB40672,FBpp0304837,FBgn0023508
GB42678,FBpp0304913,FBgn0036934
GB50727,FBpp0304954,FBgn0010741
GB53657,FBpp0304962,FBgn0037093
GB51050,FBpp0305035,FBgn0037137
GB45495,FBpp0305095,FBgn0001233
GB50619,FBpp0305151,FBgn0264502
GB51498,FBpp0305215,FBgn0033402
GB41850,FBpp0305234,FBgn0029167
GB44519,FBpp0305239,FBgn0036397
GB49439,FBpp0305251,FBgn0036428
GB42567,FBpp0305257,FBgn0259175
GB54092,FBpp0305263,FBgn0010825
GB41888,FBpp0305264,FBgn0036398
GB55976,FBpp0305268,FBgn0035903
GB44643,FBpp0305273,FBgn0024921
GB54546,FBpp0305279,FBgn0086677
GB45871,FBpp0305326,FBgn0001189
GB55541,FBpp0305362,FBgn0030970
GB50958,FBpp0305416,FBgn0010352
GB55855,FBpp0305425,FBgn0011817
GB41390,FBpp0305431,FBgn0001128
GB47718,FBpp0305546,FBgn0023091
GB47808,FBpp0305594,FBgn0035227
GB45137,FBpp0305598,FBgn0051641
GB50242,FBpp0305644,FBgn0015283
GB53712,FBpp0305772,FBgn0016031
GB47455,FBpp0305795,FBgn0260635
GB44961,FBpp0305834,FBgn0042696
GB43786,FBpp0305853,FBgn0039928
GB47052,FBpp0305885,FBgn0261802
GB41549,FBpp0305898,FBgn0011837
GB53205,FBpp0305908,FBgn0265523
GB50173,FBpp0305959,FBgn0037792
GB51522,FBpp0305971,FBgn0052105
GB43418,FBpp0306054,FBgn0051324
GB54325,FBpp0306196,FBgn0036544
GB42458,FBpp0306223,FBgn0011802
GB50276,FBpp0306434,FBgn0024326
GB50280,FBpp0306445,FBgn0039205
GB49640,FBpp0306600,FBgn0039647
GB41193,FBpp0306626,FBgn0051158
GB40461,FBpp0306685,FBgn0005585
GB47396,FBpp0306756,FBgn0016685
GB49344,FBpp0306780,FBgn0010441
GB43238,FBpp0306915,FBgn0039120
GB44515,FBpp0306930,FBgn0040208
GB47098,FBpp0306933,FBgn0259212
GB52985,FBpp0306961,FBgn0043884
GB53402,FBpp0306969,FBgn0037358
GB47140,FBpp0307010,FBgn0039114
GB54643,FBpp0307186,FBgn0019960
GB41259,FBpp0307243,FBgn0033019
GB52499,FBpp0307274,FBgn0033055
GB50425,FBpp0307379,FBgn0264981
GB43543,FBpp0307403,FBgn0024963
GB41136,FBpp0307425,FBgn0037926
GB54040,FBpp0307451,FBgn0020309
GB45738,FBpp0307454,FBgn0031497
GB47007,FBpp0307571,FBgn0038576
GB46265,FBpp0307574,FBgn0038583
GB50965,FBpp0307589,FBgn0015351
GB48789,FBpp0307614,FBgn0032363
GB46339,FBpp0307647,FBgn0026761
GB54272,FBpp0307696,FBgn0053547
GB43110,FBpp0307781,FBgn0265082
GB51095,FBpp0307794,FBgn0016054
GB53397,FBpp0307843,FBgn0085443
GB50641,FBpp0307850,FBgn0033174
GB42298,FBpp0307904,FBgn0031633
GB51717,FBpp0307917,FBgn0030739
GB49246,FBpp0307968,FBgn0261649
GB54348,FBpp0307979,FBgn0262617
GB40866,FBpp0307982,FBgn0001219
GB44213,FBpp0308014,FBgn0014141
GB42923,FBpp0308219,FBgn0265174
GB45555,FBpp0308267,FBgn0027548
GB45774,FBpp0308279,FBgn0265296
GB52250,FBpp0308408,FBgn0260390
GB51188,FBpp0308505,FBgn0033476
GB47990,FBpp0308613,FBgn0004117
GB41815,FBpp0308637,FBgn0031183
GB41505,FBpp0308682,FBgn0039075
GB54102,FBpp0308739,FBgn0031115
GB54215,FBpp0308786,FBgn0037491
GB48951,FBpp0308803,FBgn0034068
GB53246,FBpp0308851,FBgn0025549
GB48072,FBpp0308985,FBgn0033902
GB42297,FBpp0308990,FBgn0001220
GB42213,FBpp0309145,FBgn0025800
GB48923,FBpp0309192,FBgn0034246
GB55751,FBpp0309250,FBgn0003218
GB51014,FBpp0309283,FBgn0032731
GB40162,FBpp0309305,FBgn0030662
GB55224,FBpp0309407,FBgn0000394
GB47306,FBpp0309429,FBgn0033814
GB49024,FBpp0309532,FBgn0010408
GB50849,FBpp0309536,FBgn0032391
GB40916,FBpp0309581,FBgn0086604
GB40808,FBpp0309608,FBgn0029688
GB54680,FBpp0309623,FBgn0004397
GB44328,FBpp0309684,FBgn0085426
GB55808,FBpp0309691,FBgn0020306
GB40316,FBpp0309765,FBgn0005631
GB45185,FBpp0309814,FBgn0025608
GB44327,FBpp0309816,FBgn0032699
GB40773,FBpp0309847,FBgn0030485
GB40013,FBpp0309916,FBgn0031700
GB52275,FBpp0309959,FBgn0029831
