"","chr","pos","pval","padj"
"12594","2L",10433197,3.8258568523678e-29,9.06711790017991e-25
"13173","2L",10451000,1.39319496222515e-19,5.12231810789613e-16
"13364","2L",10455898,1.83597636325912e-16,3.4666519985765e-13
"13367","2L",10456001,1.92609744193915e-18,5.63452598613775e-15
"13417","2L",10457001,4.35483026022987e-17,9.47857544111533e-14
"13563","2L",10460961,1.20155202581325e-19,4.47532499184644e-16
"13951","2L",10471653,8.46121484465855e-16,1.38043241911652e-12
"16021","2L",10521949,4.00283997937133e-19,1.33902822187027e-15
"16373","2L",10530882,5.05240118340904e-16,8.67595085387143e-13
"16563","2L",10534488,8.89390689502096e-22,5.02422970675664e-18
"16733","2L",10538675,1.35309464092182e-15,2.11095547741332e-12
"16750","2L",10538978,6.00616375581003e-17,1.26728227506753e-13
"16751","2L",10539027,6.92298286546139e-18,1.79476980110031e-14
"16752","2L",10539038,2.68526800012827e-17,6.1276975340041e-14
"16753","2L",10539049,4.61610526338546e-17,9.99570175978328e-14
"16754","2L",10539059,1.39177197013411e-16,2.69689487708875e-13
"17106","2L",10548420,2.72504309532911e-17,6.20894167690131e-14
"17656","2L",10562314,6.39922707207374e-16,1.07503943423106e-12
"17658","2L",10562473,6.21256892651196e-17,1.30528082401938e-13
"17688","2L",10563240,1.85999031153639e-15,2.81388022943717e-12
"17748","2L",10564884,1.03460796105751e-16,2.0643672266815e-13
"17753","2L",10565026,1.9076858007199e-19,6.8093839691988e-16
"18037","2L",10573546,1.60965903754841e-16,3.0781767498436e-13
"18207","2L",10577359,6.78718479841202e-16,1.13374746151195e-12
"18393","2L",10581873,3.94090018339827e-36,3.9233593231947e-31
"18410","2L",10582544,4.52702009963801e-16,7.84909059204855e-13
"18413","2L",1058261,2.0521673800615e-34,1.45784280598313e-29
"18454","2L",10584089,9.42422110050367e-26,1.16103086892938e-21
"18456","2L",10584098,6.34131483441396e-28,1.18972627597045e-23
"18457","2L",10584100,3.11649748217436e-28,6.19652454123857e-24
"18460","2L",10584229,3.77690937302823e-25,4.14062797510405e-21
"18461","2L",1058427,1.56077217978832e-19,5.68343858727557e-16
"18463","2L",1058437,2.686714418154e-20,1.14453921771516e-16
"18465","2L",1058448,6.83396204040177e-23,4.80767992039982e-19
"18500","2L",10585920,1.43834364832766e-48,9.3523254678416e-43
"18501","2L",10585948,2.59552288252816e-51,2.53050881335309e-45
"18502","2L",10585949,3.30831710072662e-51,2.92306277036928e-45
"18503","2L",10585957,1.11392991262089e-49,8.07558977306373e-44
"18507","2L",10586045,1.68682071808069e-53,2.80544006688729e-47
"18514","2L",10586346,2.01577977622179e-53,3.05328600720412e-47
"18533","2L",10586839,2.9996404037223e-16,5.4060816924933e-13
"18536","2L",10586943,2.00115812976238e-17,4.70910769334557e-14
"18544","2L",10587186,6.9108728165225e-19,2.20660869477691e-15
"18667","2L",1059082,4.19507835053443e-18,1.14333848687528e-14
"18678","2L",1059130,4.937767303702e-16,8.49406298607713e-13
"18694","2L",10591647,9.14406528878416e-16,1.48259876843505e-12
"18730","2L",10592686,3.14254983010904e-26,4.22698251371936e-22
"18841","2L",10602607,1.15959078429046e-15,1.837665880898e-12
"18977","2L",10605336,1.05404852350291e-16,2.0998969938876e-13
"18979","2L",10605348,3.81287634413384e-16,6.71506857807936e-13
"18981","2L",1060547,1.28023615246283e-15,2.00904006907115e-12
"19055","2L",10607645,9.69468176498531e-17,1.94648117426026e-13
"19149","2L",10610701,2.99758749954018e-22,1.85535391016015e-18
"19164","2L",10611288,9.68436622258526e-18,2.44191404191516e-14
"19183","2L",10611997,1.03271565007806e-16,2.06117331449132e-13
"19231","2L",10613819,2.67365653884672e-29,6.596324147026e-25
"19272","2L",10615345,4.8984268725882e-25,5.23219206391981e-21
"19968","2L",10637963,8.08652969782728e-27,1.22330253172393e-22
"20273","2L",10647228,1.70316268647094e-16,3.23771446833041e-13
"20276","2L",10647386,1.50254318464143e-18,4.47794806584574e-15
"20399","2L",1065145,1.81498685155422e-22,1.17482138580061e-18
"20423","2L",1065240,1.12322814986688e-24,1.11862256721516e-20
"20442","2L",10653980,1.3005671341514e-16,2.53983318208456e-13
"20582","2L",1065949,1.28646543061744e-16,2.51524783865879e-13
"20674","2L",10662869,7.80919490810492e-26,9.76532474238016e-22
"20759","2L",10666162,2.11979031282287e-19,7.49176086299718e-16
"21185","2L",10679135,1.02763357983808e-22,7.00455467489584e-19
"21186","2L",10679160,7.81789591917766e-29,1.73671488241802e-24
"21196","2L",10679785,2.71048400675279e-27,4.49159272410566e-23
"22008","2L",10703435,3.55196653892912e-17,7.89767643229221e-14
"22202","2L",10707925,1.09320482323334e-17,2.72564615421606e-14
"22303","2L",10711509,1.02874385354873e-19,3.88594311524638e-16
"22420","2L",10714552,1.95364785979562e-22,1.25852455994716e-18
"22535","2L",10717714,1.14861247988213e-16,2.27037198538556e-13
"22914","2L",10727560,2.37753686881057e-18,6.82798455306985e-15
"22932","2L",10728246,1.04748398648883e-15,1.67512076326816e-12
"23241","2L",10744388,4.49529453457672e-16,7.80173866520988e-13
"24095","2L",10776275,6.38367150536575e-24,5.50944215601894e-20
"24125","2L",10777291,2.67187228345675e-18,7.58849095083872e-15
"24275","2L",10781976,7.97567684923536e-17,1.63302367862495e-13
"24797","2L",10797026,3.89438200043638e-18,1.06880381132488e-14
"24799","2L",10797098,7.0195190038129e-17,1.45653176220884e-13
"25370","2L",10814887,3.9976376345432e-20,1.64379837603548e-16
"25371","2L",10815017,2.142866584597e-20,9.31225096465649e-17
"25411","2L",1081565,7.48200157409198e-16,1.23700963426506e-12
"25771","2L",10826925,2.03983427483713e-16,3.81642702054834e-13
"25773","2L",10826989,2.03683744476465e-18,5.9326992210501e-15
"25774","2L",10826994,1.42423916473107e-18,4.26481226141454e-15
"26724","2L",10854848,4.20002443305885e-17,9.17199182427131e-14
"26895","2L",10860253,2.31459816766145e-16,4.28369475378731e-13
"26920","2L",10861017,4.13886789101257e-18,1.12949026086154e-14
"27153","2L",10868436,1.36909350840716e-16,2.65823318036527e-13
"27621","2L",10886514,1.73971047798869e-17,4.14667548824135e-14
"27771","2L",10891165,4.54633606007475e-16,7.87823313761513e-13
"28404","2L",10910537,1.45238241823164e-19,5.32193730502751e-16
"28505","2L",1091326,1.58174895164394e-16,3.0286959812172e-13
"28728","2L",10922265,2.91026668686659e-16,5.2621150838372e-13
"28834","2L",10925053,8.68814874266624e-19,2.71972071221038e-15
"29901","2L",10959638,2.10660440699733e-18,6.11449276045265e-15
"29904","2L",10959706,4.25310942139172e-18,1.1570361688759e-14
"29905","2L",10959753,3.76604290178896e-17,8.32196649481879e-14
"30148","2L",10967132,1.70548472425112e-16,3.24191069226855e-13
"30149","2L",10967200,2.34326355669151e-16,4.33135971979415e-13
"30150","2L",10967288,1.57791399792165e-15,2.42595415665652e-12
"30151","2L",10967308,3.91952344497462e-20,1.61567294931436e-16
"30382","2L",10976535,3.10416130426129e-17,6.98605356304244e-14
"31040","2L",11007481,3.23650989166698e-20,1.35868984267499e-16
"31042","2L",11007598,8.77887097895474e-22,4.96619084116171e-18
"31045","2L",11007711,1.08650620903614e-18,3.33761772083186e-15
"31055","2L",11008196,2.24059407251595e-23,1.72473844662672e-19
"31663","2L",11031448,1.48907054650314e-15,2.30112447659501e-12
"31664","2L",1103147,1.33689102568865e-15,2.0889036588844e-12
"31670","2L",11031777,3.99789845314038e-17,8.7787317967428e-14
"32338","2L",11058937,7.29978563985143e-16,1.20979579425422e-12
"32492","2L",11065146,1.20453415926158e-16,2.36865402964115e-13
"32712","2L",11073599,3.55831775010467e-16,6.30800834334003e-13
"32713","2L",11073602,6.96928568857904e-19,2.22350193689486e-15
"32735","2L",11074228,1.75769082029395e-18,5.1772302852272e-15
"32758","2L",11075445,4.42729193597006e-21,2.19991997982064e-17
"32763","2L",11075664,3.85384135046758e-20,1.59159255331245e-16
"32764","2L",11075773,4.06285864986561e-21,2.03745315232041e-17
"32904","2L",11080457,5.44953817453394e-18,1.44810169316642e-14
"32976","2L",11082327,1.66078212904162e-15,2.54119908477752e-12
"32981","2L",11082551,1.13030592984805e-15,1.79639173402324e-12
"33166","2L",1109009,3.61684178307784e-16,6.40172215547048e-13
"33185","2L",11090668,2.45318031537114e-16,4.51270135897219e-13
"33207","2L",11091239,6.38150148293617e-17,1.33759337758092e-13
"33301","2L",11093987,3.17056373792473e-17,7.12075830046447e-14
"33304","2L",11094069,6.2484426059872e-19,2.01259874998092e-15
"33447","2L",11103026,7.98395721457582e-17,1.63453704364714e-13
"33656","2L",11114452,3.80100676322704e-17,8.38742802326263e-14
"34014","2L",11136212,1.25280249125116e-16,2.45418324493591e-13
"34026","2L",1113638,1.90577728918851e-15,2.87653053295064e-12
"34165","2L",1113989,7.72686886581349e-16,1.27200197657116e-12
"34198","2L",11140889,5.4682711619443e-18,1.45280651193455e-14
"34453","2L",11148335,1.1186837716356e-16,2.21694881798683e-13
"34620","2L",11153783,8.14623007301201e-17,1.6649066592653e-13
"34685","2L",11155729,5.227574927017e-16,8.94741339088444e-13
"34727","2L",11157164,5.81620021862441e-18,1.53643719771408e-14
"34927","2L",11165269,6.12337540518849e-17,1.28855179545559e-13
"35012","2L",11168398,2.398561226733e-18,6.8848672129575e-15
"35257","2L",11173938,3.0079732434337e-19,1.03111310504242e-15
"35280","2L",11174918,5.19252788683258e-17,1.11077715125374e-13
"35295","2L",11175329,2.26740976557759e-24,2.13124398654965e-20
"35518","2L",11183909,1.78527414688813e-16,3.37881472897691e-13
"35520","2L",11183954,1.44934323983928e-16,2.79790657893162e-13
"35521","2L",11183957,3.19026543344081e-17,7.16159300910516e-14
"35523","2L",11183963,1.68066053304193e-20,7.4585325031042e-17
"35731","2L",11191110,1.01203777366211e-19,3.82897675996959e-16
"35867","2L",11194697,2.09688312803156e-19,7.41636458621473e-16
"36084","2L",11200195,4.26203009539183e-16,7.42973678779138e-13
"36095","2L",11200508,2.59195771985716e-18,7.38302998505637e-15
"36098","2L",11200551,7.23577149288718e-18,1.86951706672731e-14
"36101","2L",11200662,8.79022788337534e-17,1.78209750986499e-13
"36103","2L",1120081,1.33926265995918e-15,2.09185990051717e-12
"36116","2L",11201029,3.19872973135409e-22,1.96993204219859e-18
"36190","2L",11203220,3.84989219837928e-20,1.590448306856e-16
"36220","2L",11204623,3.12144916326393e-21,1.59968426297552e-17
"36221","2L",11204647,7.21163165886901e-20,2.81550307634076e-16
"36225","2L",11204736,4.60266759889773e-21,2.28225090900261e-17
"36259","2L",11205681,1.44306895753723e-20,6.47836507712439e-17
"37274","2L",11249046,1.16358113761939e-16,2.29594658412667e-13
"37275","2L",11249064,9.5759448174651e-17,1.925375899042e-13
"37365","2L",11253262,1.33339938679224e-15,2.08390860279502e-12
"37366","2L",11253269,2.16900271480012e-16,4.03404146098005e-13
"37675","2L",11274527,3.23331297104705e-17,7.2518937390276e-14
"37676","2L",11274621,4.07502276720296e-17,8.92866801156069e-14
"37946","2L",11289510,6.01292273465911e-16,1.0156943808751e-12
"38013","2L",11291853,4.10871900055481e-18,1.12218166134501e-14
"38021","2L",11292176,1.51554735636464e-17,3.65645259400839e-14
"38038","2L",11292601,1.99649574337671e-17,4.69970081792445e-14
"38067","2L",11293689,4.72560816170103e-24,4.16619638826788e-20
"38469","2L",11304664,1.49507547656219e-20,6.70013542044737e-17
"38714","2L",11311629,3.93421124259404e-24,3.52230159575756e-20
"38716","2L",11311635,5.25666337715149e-24,4.59569439646056e-20
"38840","2L",11318639,1.24862422920015e-20,5.66571855187401e-17
"38857","2L",11319304,4.44546047879333e-21,2.20817176428099e-17
"38866","2L",11319393,5.76507577847965e-16,9.77624912721365e-13
"38900","2L",11320259,4.81833331932404e-27,7.58950370291026e-23
"38917","2L",11320976,2.99408669017127e-19,1.026850875298e-15
"38927","2L",11321476,6.65272580422485e-19,2.13145297957364e-15
"39132","2L",1132779,8.99009197958759e-22,5.07066992344673e-18
"39387","2L",11336201,3.77563621969462e-17,8.33925465664722e-14
"39407","2L",11337274,7.44239554915467e-16,1.23133745053796e-12
"39412","2L",1133734,9.97267826960027e-18,2.5076791068157e-14
"39413","2L",11337348,1.70824842726156e-15,2.60705599960847e-12
"39415","2L",11337397,5.06721916399768e-16,8.69875460532672e-13
"39910","2L",11351586,1.58671855928752e-15,2.43829738130759e-12
"39911","2L",11351588,2.15445558128595e-16,4.00962339183906e-13
"40688","2L",11375378,4.85611713579651e-17,1.04585523832136e-13
"41042","2L",1138709,1.40871028416049e-15,2.1874615627931e-12
"41086","2L",11387960,6.31793162414342e-18,1.65276297591305e-14
"41306","2L",11396502,6.31194287284681e-18,1.65165477949647e-14
"41468","2L",11400551,3.94010327700158e-20,1.62320957849671e-16
"41497","2L",11401787,1.94261885240916e-22,1.25199027304779e-18
"41997","2L",11420795,9.08020008890568e-21,4.23786521328938e-17
"42040","2L",1142145,3.98294400880045e-23,2.92535893865435e-19
"42128","2L",11424266,5.5207980441105e-21,2.69784477674282e-17
"42166","2L",11425608,4.09739640179637e-23,3.0020242301692e-19
"42400","2L",11431338,3.05600731981768e-17,6.8924940006708e-14
"42618","2L",11440537,7.24882642772754e-17,1.49872294344534e-13
"42620","2L",11440649,9.69821658005692e-16,1.56267977933122e-12
"42624","2L",11440810,2.25132620548725e-16,4.17534136411399e-13
"42627","2L",11441005,6.74203338012997e-18,1.75316382366132e-14
"42798","2L",11447481,7.86570261743185e-17,1.61223480032047e-13
"42995","2L",11454122,1.18967297455395e-20,5.41560595102228e-17
"42996","2L",11454133,6.30076365355344e-17,1.32165013900821e-13
"43005","2L",11454220,1.03527919343238e-17,2.5938025478539e-14
"43040","2L",11455058,2.0445193431479e-18,5.95323441824133e-15
"43041","2L",11455062,4.30415119843726e-17,9.38271517754022e-14
"43042","2L",11455070,1.15340933937126e-16,2.27857918726273e-13
"43045","2L",11455144,2.07252518902259e-18,6.02501385160685e-15
"43104","2L",11457306,7.41238076123803e-17,1.52929532288532e-13
"43155","2L",11458871,4.17648321817638e-22,2.51510507856888e-18
"43184","2L",11459447,9.72075664926969e-21,4.50632414502148e-17
"43245","2L",11461665,1.23655134811641e-19,4.59358147155473e-16
"43295","2L",11463866,5.71901235813602e-17,1.21284895990714e-13
"43417","2L",11467208,8.68213042298667e-28,1.58678096451423e-23
"43481","2L",11469452,4.54353724439229e-24,4.01820829840518e-20
"43487","2L",11469575,1.2564192344733e-20,5.69834537972406e-17
"43488","2L",11469578,2.29586881556521e-20,9.91181229040010e-17
"43490","2L",11469601,1.51901015509631e-15,2.34367660073536e-12
"43491","2L",11469602,8.36870164373896e-16,1.36652184646149e-12
"43500","2L",11469803,2.19190844794903e-21,1.15492220738819e-17
"43502","2L",11470007,1.73705265017416e-20,7.68707439375342e-17
"43504","2L",11470020,9.12225927909764e-22,5.13987722227594e-18
"43510","2L",11470167,1.99620056133627e-17,4.69939722460012e-14
"43622","2L",11473783,1.04209030983943e-15,1.66715534886045e-12
"43623","2L",11473785,6.77431653027583e-17,1.4120780239576e-13
"43633","2L",11473934,1.14170473212077e-16,2.25829677036295e-13
"43684","2L",11475818,1.15534781756806e-15,1.83196865403928e-12
"43694","2L",11475956,7.07773650711239e-16,1.1776897120241e-12
"43759","2L",11477443,8.80847424626077e-22,4.98094417899109e-18
"43983","2L",1148346,7.22732785183985e-18,1.86750612820432e-14
"44427","2L",11495160,1.6938629764857e-16,3.22243324466088e-13
"44500","2L",11497120,1.09465334153644e-17,2.72901703594394e-14
"44562","2L",11498636,4.11783753351522e-17,9.00991017373736e-14
"44806","2L",11504553,5.85257051136623e-26,7.46720180944802e-22
"44856","2L",11506134,1.90580013052269e-16,3.58675469279105e-13
"44973","2L",11509963,1.89892857758597e-21,1.01425094665979e-17
"45038","2L",1151306,1.32386025051199e-15,2.07048815598036e-12
"45043","2L",11513412,2.25797438462854e-20,9.76312081388391e-17
"45047","2L",11513826,8.37018461020564e-23,5.81176784145301e-19
"45081","2L",11515742,2.91975955577811e-21,1.50231284932843e-17
"45108","2L",11517198,1.30100912032354e-16,2.54052084722838e-13
"45151","2L",11518655,1.91795525812538e-19,6.84172153306363e-16
"45226","2L",11521881,1.1653664860882e-15,1.84587701376321e-12
"45452","2L",11529611,4.32640187852999e-22,2.59708964985845e-18
"45617","2L",1153373,9.26076434288952e-20,3.53496793179886e-16
"45762","2L",11538906,6.10242824554446e-16,1.02958329029358e-12
"45764","2L",11539021,6.46788689476946e-19,2.07925408311677e-15
"45802","2L",11540395,7.56207042742985e-16,1.24850741973825e-12
"45808","2L",11540573,2.51257591996084e-21,1.30924340198005e-17
"45857","2L",11549491,4.81240579512234e-21,2.37666373912779e-17
"45895","2L",1155108,1.05322129001152e-17,2.63455270944383e-14
"45935","2L",11552443,1.77017779138356e-17,4.21183918510387e-14
"45936","2L",11552461,1.716483232459e-18,5.06852709900141e-15
"46054","2L",11557168,2.02630066284362e-21,1.07628778251645e-17
"46055","2L",11557177,3.35870269609435e-22,2.0576942671545e-18
"46117","2L",11559374,3.45262983373046e-16,6.13688060754111e-13
"46157","2L",11560988,1.00187251138345e-15,1.60863960740197e-12
"46163","2L",11561214,1.25469020905026e-18,3.80792178375319e-15
"46294","2L",1157138,1.14298584228224e-17,2.83700426844584e-14
"46297","2L",1157141,1.07526379082168e-19,4.04383745069635e-16
"46298","2L",11571411,5.31233339764505e-28,1.00804529020162e-23
"46299","2L",11571461,4.01892409647257e-19,1.34377271855097e-15
"46320","2L",11572507,4.86540620086321e-17,1.04761641097145e-13
"46558","2L",11579889,3.17263935987928e-17,7.12428810525774e-14
"46560","2L",11580167,1.05997749780429e-17,2.64910912569197e-14
"46571","2L",11581216,1.17168583160511e-16,2.30968189477788e-13
"46573","2L",11581254,2.44503186946403e-18,7.0019076319832e-15
"46630","2L",11583417,9.50144492446163e-17,1.91230053621736e-13
"46790","2L",11589701,6.40436105789249e-18,1.67382411723615e-14
"46791","2L",11589728,2.73164833396647e-19,9.44636877353714e-16
"46793","2L",11589826,1.26482962806398e-18,3.83334517483344e-15
"46823","2L",11590994,8.82598273999048e-18,2.24065939626215e-14
"46825","2L",11591118,3.36248934223898e-17,7.51301189490816e-14
"47001","2L",11595939,2.45024506892282e-17,5.65067128272818e-14
"47002","2L",11595984,6.23379663495515e-17,1.30876827846327e-13
"47003","2L",11595993,6.60440103227928e-19,2.11856298691637e-15
"47073","2L",11597563,9.11988727181811e-17,1.84219456917364e-13
"47110","2L",11598873,5.85427146671864e-19,1.8944864852397e-15
"47122","2L",11599051,5.76247155053e-16,9.77300526776604e-13
"47240","2L",11602018,4.14850338837528e-18,1.13184495937982e-14
"47249","2L",11602865,1.54853853968626e-15,2.38546078312025e-12
"47295","2L",11604853,6.76842982557934e-19,2.16479439911176e-15
"47349","2L",11607663,2.38819384801915e-17,5.52424273987154e-14
"47549","2L",11613355,1.5462153925362e-18,4.59792422151799e-15
"47584","2L",11615672,3.28236910848703e-18,9.15862683314098e-15
"47638","2L",11617329,3.91472814571706e-22,2.374161888839e-18
"47641","2L",11617455,9.6327093761535e-16,1.55332034638212e-12
"47642","2L",11617459,6.89554399015306e-16,1.15035283771809e-12
"47643","2L",11617461,5.01760151526891e-16,8.61828681018695e-13
"47653","2L",11617624,4.80130822839655e-25,5.13816165741061e-21
"47702","2L",11618686,4.99657533474693e-21,2.45945566727702e-17
"47760","2L",11620659,9.0345594200417e-20,3.45749118788312e-16
"48389","2L",11643875,4.78993859259465e-17,1.03317646126332e-13
"48562","2L",116504,1.19946821845101e-18,3.65523553497243e-15
"48565","2L",11650700,3.39278152147591e-20,1.41734812709031e-16
"48566","2L",11650759,4.55454554489799e-19,1.50471329165208e-15
"48567","2L",11650773,2.0120890985975e-17,4.73207342297442e-14
"48568","2L",11650797,9.18611213497605e-16,1.48881850744176e-12
"48569","2L",11650803,1.3264800755428e-17,3.24404089165564e-14
"48570","2L",11650818,1.6275571989042e-16,3.10924922717303e-13
"48688","2L",11654697,2.61456728069976e-16,4.77941482739281e-13
"48731","2L",11656076,1.34896575812719e-15,2.10567591059945e-12
"48772","2L",11657396,2.92553753524097e-16,5.28634596445361e-13
"48773","2L",1165740,3.70924677862768e-16,6.55092328534397e-13
"48806","2L",11658580,4.26133935486187e-17,9.29513743677139e-14
"48807","2L",11658581,9.44880913833914e-17,1.90211304075918e-13
"48808","2L",11658582,6.07326378663558e-25,6.36681437778241e-21
"48814","2L",11658989,2.98292110149242e-18,8.39162136462766e-15
"48816","2L",11659080,1.10711997384779e-18,3.39577551345316e-15
"48846","2L",11660052,2.25201863149837e-17,5.24054785733343e-14
"48848","2L",11660186,4.94150582904666e-16,8.49997692889675e-13
"48861","2L",11660751,1.23672673928434e-17,3.04614578956048e-14
"48873","2L",11661345,2.86142363286139e-18,8.08542124466032e-15
"48890","2L",11661965,2.07367574631598e-18,6.02724887546293e-15
"48891","2L",11662056,6.2541237010608e-18,1.63834469784878e-14
"48931","2L",11663498,4.77704457253701e-18,1.2860808443836e-14
"48939","2L",11663640,1.19985574118613e-21,6.62453269932909e-18
"48981","2L",11665133,1.80325810086108e-18,5.3026088629623e-15
"48995","2L",11665647,1.91295047898788e-23,1.49285072554679e-19
"48996","2L",11665774,7.64699176396354e-24,6.46361515307624e-20
"48997","2L",11665781,2.13186788216006e-23,1.64867514153358e-19
"48998","2L",11665786,1.83050407024796e-18,5.37211185858001e-15
"48999","2L",11665795,6.21467793137954e-18,1.62952118734963e-14
"49000","2L",11665796,1.49770180003632e-17,3.61833803012532e-14
"49034","2L",11666732,1.11576088236872e-18,3.42003285862921e-15
"49158","2L",1167099,2.64038023782795e-16,4.82317057495855e-13
"49166","2L",11671182,5.13741340386856e-24,4.49978722627867e-20
"49196","2L",11672263,1.74822359431167e-15,2.6621727269341e-12
"49308","2L",11676323,3.5747567530587e-17,7.94085596590293e-14
"49320","2L",11676499,6.79913869525437e-22,3.92719254219233e-18
"49440","2L",11681650,1.01930218815397e-17,2.55853466089645e-14
"49709","2L",11691100,1.49271297656606e-15,2.30587105972156e-12
"49720","2L",11691719,1.15952520660101e-15,1.83766495875845e-12
"50160","2L",11707479,1.3354710912802e-15,2.08680032392311e-12
"50359","2L",11722069,5.5006207510908e-16,9.36441571083028e-13
"50643","2L",11735233,8.34018385961675e-16,1.36217987126925e-12
"50673","2L",11736406,7.11492020225179e-16,1.18311093631046e-12
"50743","2L",11739807,9.22633293982318e-16,1.4946517805441e-12
"50819","2L",11742517,5.77474282678463e-21,2.81020178794858e-17
"50835","2L",11743602,5.5470458119941e-21,2.71012461263397e-17
"50838","2L",11743686,3.34689454298326e-26,4.47205725534995e-22
"50882","2L",11745564,2.2059228473427e-17,5.14259260077204e-14
"50890","2L",11745744,1.55138663444731e-18,4.61087701916081e-15
"50962","2L",11749423,3.70989892499348e-16,6.55166579609546e-13
"51002","2L",11752077,4.07531784617362e-20,1.67257765951037e-16
"51031","2L",11753116,8.67183898249511e-17,1.76036788640509e-13
"51097","2L",11755539,1.00744009998461e-19,3.81413371404908e-16
"51128","2L",11756605,4.73077435330834e-17,1.02174001196703e-13
"51190","2L",11760678,2.83435219384649e-21,1.46209301489622e-17
"52557","2L",11827361,1.01985597035711e-15,1.63510018897249e-12
"52628","2L",11829402,3.68264197705785e-16,6.50840839881861e-13
"52630","2L",11829411,2.0870829805476e-17,4.89500896959845e-14
"53032","2L",11842407,4.63695359145334e-19,1.52925854431147e-15
"53099","2L",11844313,8.03977231297387e-25,8.22109381361381e-21
"54290","2L",11878819,2.64885972257352e-17,6.0538986058661e-14
"55341","2L",11913333,6.60630084923887e-20,2.59530160229017e-16
"55468","2L",11917074,8.37937971178107e-16,1.36818644638695e-12
"57360","2L",11976243,1.63767291621214e-15,2.50882619356162e-12
"57620","2L",11989053,3.47351078967414e-17,7.73418078839243e-14
"57815","2L",12016962,9.51339786219158e-20,3.62162288696733e-16
"57908","2L",12021863,8.08721670336132e-20,3.12711525292022e-16
"58116","2L",12029398,5.83082852047592e-16,9.87767932371537e-13
