chrom,start,end,snps,Ancestor.Control,Ancestor.Low,Ancestor.High,Control.Low,Control.High,Low.High
2L,795001,800000,161,0.0348986,0.0131211,0.0135727,0.0290883,0.0349973,0.0279716
2L,800001,805000,174,0.0288665,0.00681624,0.0332054,0.0246021,0.0487558,0.0483851
2L,805001,810000,102,0.035581,0.0120222,0.0188846,0.0181299,0.0608601,0.038878
2L,810001,815000,72,0.0351522,0.0253466,0.0116442,0.0246455,0.0315018,0.036696
2L,815001,820000,68,0.0712751,0.0207472,0.00315427,0.0292006,0.0803688,0.0368747
2L,820001,825000,51,0.0199123,0.0147059,0.0109065,0.0483296,0.0290687,0.0399344
2L,825001,830000,84,0.0230163,0.00646835,0.0150177,0.0247474,0.049971,0.0302264
2L,830001,835000,88,0.0178578,0.00784259,0.009724,0.0119096,0.0285218,0.0206066
2L,835001,840000,136,0.0276799,0.0101491,0.00750346,0.0344311,0.0344683,0.0212331
2L,840001,845000,130,0.0440418,0.0169053,0.0068378,0.042873,0.058562,0.0273453
2L,845001,850000,132,0.0247182,0.00644177,0.0130574,0.0202695,0.0404033,0.0289423
2L,850001,855000,131,0.0519764,0.0179017,0.00979449,0.0122807,0.0451048,0.0211641
2L,855001,860000,152,0.0324787,0.0162422,0.000607179,0.0150816,0.0409869,0.0286763
2L,860001,865000,131,0.0248617,0.00932129,0.0052,0.0113365,0.0453741,0.0227155
2L,865001,870000,98,0.0688426,0.0165302,0.0155537,0.0177687,0.116352,0.0508952
2L,870001,875000,48,0.0619985,0.0115995,0.0117738,0.0179337,0.0847277,0.0260178
2L,875001,880000,145,0.0646644,0.0132494,0.00144531,0.0256453,0.088692,0.0271099
2L,880001,885000,193,0.0324384,0.0103505,0.00879524,0.0146936,0.0555206,0.0302797
2L,885001,890000,135,0.0472943,0.0094623,0.00601536,0.0246418,0.0399564,0.0186427
2L,890001,895000,171,0.0410497,0.00493551,0.00900826,0.0248267,0.0448765,0.0173433
2L,895001,900000,135,0.0402562,0.00792931,0.0101071,0.024337,0.0433432,0.023746
2L,900001,905000,166,0.027114,0.0060655,0.00863048,0.0170935,0.0407799,0.0212349
2L,905001,910000,186,0.0215961,0.00517561,0.0210956,0.0159944,0.0304605,0.0235548
2L,910001,915000,144,0.019815,0.0102731,0.0271142,0.0148859,0.0562388,0.0451496
2L,915001,920000,187,0.0256464,0.0174555,0.011812,0.0158472,0.0369634,0.0378667
2L,920001,925000,153,0.0341096,0.0133941,0.0324885,0.014061,0.077793,0.0611633
2L,925001,930000,145,0.0358348,0.0324483,0.00878815,0.0112026,0.0591657,0.0473111
2L,930001,935000,124,0.0104084,0.013501,0.0106925,0.0175272,0.0237846,0.0325358
2L,935001,940000,193,0.0258175,0.0118516,0.0164292,0.0184361,0.0240448,0.0226468
2L,940001,945000,158,0.0177277,0.00821484,0.00724022,0.00993413,0.0307412,0.0208539
2L,945001,950000,163,0.0281508,0.010109,0.00506615,0.0158992,0.0216158,0.0164913
2L,950001,955000,190,0.0105717,0.0126564,0.000985529,0.0117154,0.0157339,0.0241453
2L,955001,960000,211,0.0179443,0.0101615,0.0062142,0.0144953,0.0217933,0.019519
2L,960001,965000,218,0.0174331,0.00757132,0.00494752,0.0154553,0.029569,0.0264462
2L,965001,970000,210,0.0123364,0.00980661,0.00212318,0.0131602,0.0141797,0.0190595
2L,970001,975000,244,0.0114989,0.0131456,0.00413537,0.00853779,0.0141261,0.0228926
2L,975001,980000,131,0.0159454,0.0137894,0.00572057,0.0106169,0.0116899,0.0109151
2L,980001,985000,19,0.0116171,0.000515381,-0.00202646,0.0246618,0.00524899,0.0102547
2L,985001,990000,191,0.0226909,0.00655779,0.0051174,0.0177041,0.0186654,0.0133053
2L,990001,995000,168,0.0169169,0.0060264,0.00707562,0.0142366,0.0279335,0.0146539
2L,995001,1000000,108,0.0199271,0.0176675,0.00521605,0.0263312,0.0214419,0.0115516
2L,1000001,1005000,0,nan,nan,nan,nan,nan,nan
2L,1005001,1010000,187,0.0129513,0.0062887,5.19777e-05,0.0112392,0.0136394,0.0115491
2L,1010001,1015000,83,0.0212261,0.00405947,0.00767927,0.0345919,0.023835,0.0257316
2L,1015001,1020000,151,0.020587,0.00801812,0.00479578,0.00711316,0.0181531,0.0147786
2L,1020001,1025000,222,0.0153877,0.0141193,0.00388143,0.0234841,0.0295205,0.0211508
2L,1025001,1030000,248,0.0161387,0.0114747,0.0142885,0.0227487,0.0285989,0.0415186
2L,1030001,1035000,185,0.0188326,0.00706991,0.00516314,0.0164687,0.020298,0.0157198
2L,1035001,1040000,192,0.0316985,0.0117355,0.00556002,0.0117814,0.0418301,0.0220508
2L,1040001,1045000,176,0.0180715,0.00953334,0.00713931,0.0181571,0.0277394,0.0291234
2L,1045001,1050000,186,0.0130342,0.011705,0.00841009,0.0188626,0.0363039,0.0377216
2L,1050001,1055000,113,0.00846521,0.0121449,0.0194441,0.0127417,0.0316107,0.0568223
2L,1055001,1060000,163,0.0221094,0.0101822,0.0145308,0.0183671,0.0413179,0.0489794
2L,1060001,1065000,143,0.0157605,0.00744206,0.0242721,0.0171617,0.0289722,0.0475815
2L,1065001,1070000,129,0.00816975,0.0208713,0.00548254,0.0327317,0.0169954,0.0474328
2L,1070001,1075000,104,0.0182138,0.0292945,0.0107681,0.0491829,0.0408965,0.0791685
2L,1075001,1080000,157,0.0154703,0.0263583,0.00321306,0.0466096,0.0203362,0.0558006
2L,1080001,1085000,165,0.0165477,0.0267618,0.0151279,0.0438752,0.0143712,0.0679035
2L,1085001,1090000,169,0.0271509,0.0287418,0.00449128,0.00875453,0.0230593,0.0352145
2L,1090001,1095000,257,0.0131786,0.0107249,0.00722202,0.00846927,0.0223541,0.0262093
2L,1095001,1100000,209,0.0140027,0.014863,0.00517419,0.00662172,0.0224405,0.0273501
2L,1100001,1105000,156,0.02892,0.0141881,0.000370866,0.00862092,0.0350969,0.0209299
2L,1105001,1110000,133,0.0285085,0.0113146,0.00550486,0.0257511,0.0534056,0.0159372
2L,1110001,1115000,153,0.0204135,0.00775617,0.0159236,0.0191118,0.0282511,0.0308371
2L,1115001,1120000,145,0.0264186,0.0128344,0.00691855,0.0267984,0.0200645,0.0260971
2L,1120001,1125000,136,0.0217143,0.00673738,0.00446172,0.015561,0.0216913,0.0158611
2L,1125001,1130000,133,0.0124663,0.00918671,0.00375597,0.0126902,0.0262079,0.0234888
2L,1130001,1135000,118,0.0129386,0.00424485,0.00452503,0.00733333,0.0169884,0.0131584
2L,1135001,1140000,139,0.0069466,0.00725223,0.00855032,0.00964816,0.0241413,0.0269932
2L,1140001,1145000,122,0.018884,0.00560127,0.0045861,0.0193426,0.0207845,0.0133295
2L,1145001,1150000,141,0.0203101,0.00723769,0.0119637,0.0189227,0.0392114,0.0221241
2L,1150001,1155000,120,0.0153597,0.00608674,0.0337026,0.00623314,0.0245108,0.0237831
2L,1155001,1160000,152,0.0138234,0.0172831,0.00877504,0.038195,0.0410805,0.0202226
2L,1160001,1165000,115,0.00892377,0.00606185,0.0123891,0.0157309,0.0354973,0.0184051
2L,1165001,1170000,94,0.00923511,0.00517368,0.000640457,0.02079,0.0133888,0.0144278
2L,1170001,1175000,65,0.0104923,0.010123,0.0115216,0.0138931,0.033286,0.0274074
2L,1175001,1180000,97,0.00990327,0.0087754,0.00634791,0.00892676,0.017751,0.0271689
2L,1180001,1185000,117,0.00895622,0.0128546,0.00471036,0.022325,0.0192868,0.0192318
2L,1185001,1190000,195,0.0114462,0.0132563,0.0113655,0.0193236,0.0358513,0.0295434
2L,1190001,1195000,170,0.0147692,0.00941209,0.00755314,0.027313,0.0262161,0.023768
2L,1195001,1200000,181,0.0115382,0.00697881,0.00610181,0.0173448,0.0346855,0.0213875
2L,1200001,1205000,167,0.0132929,0.00934906,0.00869711,0.0170675,0.039001,0.0334551
2L,1205001,1210000,164,0.00792925,0.00532445,0.00181604,0.00920534,0.0141528,0.0100974
2L,1210001,1215000,148,0.0128654,0.0109277,0.00428615,0.0119784,0.0180102,0.0104566
2L,1215001,1220000,176,0.0108171,0.00273793,0.00381589,0.00688742,0.0141619,0.012138
2L,1220001,1225000,2,-0.00601448,0.00512032,0.0109453,0.00176026,0.0195712,0.045681
2L,1225001,1230000,69,0.0135836,0.0075646,0.00735738,0.00375392,0.0223549,0.0264574
2L,1230001,1235000,163,0.0103378,0.00430233,-0.000726952,0.0156215,0.0201541,0.0118565
2L,1235001,1240000,160,0.00793414,0.00283246,0.00589884,0.00874406,0.0160083,0.0138469
2L,1240001,1245000,180,0.00849938,0.00476806,0.0100671,0.0166012,0.0124102,0.0137988
2L,1245001,1250000,176,0.0100093,0.00819667,0.00913552,0.0194237,0.0261009,0.0138681
2L,1250001,1255000,179,0.0283091,0.00519038,0.0032156,0.026241,0.0432771,0.0132711
2L,1255001,1260000,188,0.00999154,0.00774943,0.00143215,0.0112813,0.0237687,0.0179114
2L,1260001,1265000,203,0.00733634,0.0018297,0.00406436,0.0130316,0.0116887,0.0172084
2L,1265001,1270000,178,0.0236183,0.00703503,0.00536065,0.0281325,0.0172613,0.0120184
2L,1270001,1275000,197,0.00421532,0.0103823,0.00700019,0.0141359,0.0115584,0.0337547
2L,1275001,1280000,182,0.00574335,0.00696646,0.00458583,0.00795277,0.00930586,0.0200664
2L,1280001,1285000,208,0.0053146,0.00802422,0.00363033,0.0115512,0.0111025,0.019088
2L,1285001,1290000,221,0.0126693,0.00979296,0.00407851,0.0207378,0.00764874,0.0268258
2L,1290001,1295000,188,0.00738764,0.00750338,0.000829319,0.0123525,0.0160798,0.0106652
2L,1295001,1300000,187,0.0130587,0.012774,0.00291791,0.0143294,0.0104668,0.0253467
2L,1300001,1305000,143,0.00709483,0.00523562,0.000915004,0.0147713,0.00896601,0.0163758
2L,1305001,1310000,217,0.025892,0.0145371,0.00895571,0.0141363,0.0121449,0.0203276
2L,1310001,1315000,306,0.0248301,0.0245063,0.0197137,0.0201454,0.0152209,0.0443293
2L,1315001,1320000,263,0.02818,0.0157613,0.00752204,0.0099043,0.0120503,0.0157863
2L,1320001,1325000,172,0.0270346,0.0207388,0.0102128,0.00737247,0.0338813,0.0358381
2L,1325001,1330000,151,0.0154834,0.0225688,0.0102235,0.0122916,0.0361652,0.0562512
2L,1330001,1335000,202,0.0188378,0.00975123,0.0198178,0.0132398,0.0145742,0.0342343
2L,1335001,1340000,191,0.00332289,0.0127308,0.00539448,0.00802116,0.0112052,0.0333937
2L,1340001,1345000,190,0.01979,0.0154953,0.0112645,0.00981001,0.0192722,0.0376357
2L,1345001,1350000,177,0.0154579,0.0159415,0.000606411,0.00418704,0.0156421,0.0237856
2L,1350001,1355000,170,0.00476792,0.00391691,0.0142945,0.00316645,0.0140667,0.0297439
2L,1355001,1360000,166,0.00771778,0.0248577,0.00805298,0.0222472,0.0207034,0.0624024
2L,1360001,1365000,203,0.00863101,0.0252756,0.0287735,0.026114,0.042954,0.104724
2L,1365001,1370000,159,0.00489885,0.00538692,0.0192882,0.00975982,0.0225303,0.0455495
2L,1370001,1375000,188,0.00567019,0.00768785,0.0047909,0.00628297,0.0147603,0.0261769
2L,1375001,1380000,184,0.0061887,0.0104673,0.00937182,0.0112679,0.0193602,0.0405691
2L,1380001,1385000,161,0.0046232,0.00332654,0.00815562,0.0119716,0.0134653,0.0226793
2L,1385001,1390000,164,0.0115325,0.00321894,0.015826,0.00926426,0.00574097,0.0241296
2L,1390001,1395000,156,0.0272794,0.0104674,0.0202424,0.0140285,0.00475979,0.0191132
2L,1395001,1400000,167,0.00939631,0.00610549,0.0124812,0.00631405,0.0124321,0.0188196
2L,1400001,1405000,189,0.00896031,0.00600219,0.00931,0.00594003,0.00504145,0.014321
2L,1405001,1410000,170,0.0094406,0.00429595,0.00665677,0.00517781,0.0112882,0.0164869
2L,1410001,1415000,156,0.0100475,0.00364611,0.00463922,0.0054763,0.0162291,0.0158054
2L,1415001,1420000,115,0.0193179,0.00580081,0.00273712,0.00930518,0.0147124,0.00826704
2L,1420001,1425000,151,0.0186424,0.00738902,0.00347624,0.018161,0.0122963,0.00979952
2L,1425001,1430000,142,0.0186052,0.0100169,0.00804183,0.0195481,0.0233582,0.0138238
2L,1430001,1435000,203,0.0135353,0.0122197,0.0119015,0.0237858,0.0194936,0.0254083
2L,1435001,1440000,174,0.0131219,0.0111788,0.00681309,0.0132184,0.0155011,0.011604
2L,1440001,1445000,199,0.0199972,0.0124084,0.0263957,0.0225397,0.0389108,0.0228544
2L,1445001,1450000,177,0.0285804,0.00931713,0.0253016,0.042256,0.0674619,0.016199
2L,1450001,1455000,199,0.0160888,0.00482069,0.000172976,0.02456,0.0206577,0.00690198
2L,1455001,1460000,161,0.025571,0.00877093,0.00141334,0.0558606,0.0441233,0.0134827
2L,1460001,1465000,155,0.012564,0.00471922,0.00606685,0.025149,0.0371358,0.0163147
2L,1465001,1470000,179,0.0105271,0.0113161,0.0122642,0.0270376,0.0457725,0.0274502
2L,1470001,1475000,236,0.0106918,0.00206747,0.000837303,0.00886017,0.020418,0.0122701
2L,1475001,1480000,157,0.0103774,0.00314002,0.00635077,0.0189111,0.0357463,0.0174687
2L,1480001,1485000,136,0.0119436,0.00565552,0.01515,0.0277807,0.0537191,0.0206541
